pairid,used,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR
59,*,45,12388.37,22,2.16,12393.07,26,4.956,-2479.2930611115735,4247.81010373748,12,233.2731764767867,-0.07253502429507401,0.23086995078645678,-0.36462331201803055,0.23960139562296115
60,*,45,12557.0,26,2.279,12423.03,12,5.932,-5853.424769152686,4978.007318354311,18,260.60355845363125,0.043831849029013784,0.08251920124893296,-0.12726786844071078,0.24504677924285426
61,,45,12532.84,24,2.7089999999999996,12457.13,12,6.431,-1991.0732311971974,5011.039514916463,19,106.2238129242625,0.12866347930226055,0.18029328116060284,-0.2092697654891364,0.6739184221119788
62,,45,12510.52,26,4.956,12583.92,14,6.6160000000000005,-2478.988264342617,4363.020603797958,18,132.96824024225123,-0.18345237997357103,0.13942804736510564,-0.5212825900962704,0.29046263131104283
63,,44,12600.28,22,1.443,12720.15,27,3.53,-1472.7886146951057,4989.00806978736,17,98.82215155121294,0.23122299711345087,0.30935399575486133,-0.12398316491684727,0.8076795941580712
64,,44,12671.1,22,1.43,12789.45,26,5.01,-1680.7126608812353,4869.017776040146,20,135.95922567035677,0.04134766382302077,0.23485490838021367,-0.17597258110538125,0.6818731550149495
65,,44,12744.91,22,2.488,12679.17,11,3.617,-1624.5369552719262,3396.9850315790036,16,101.96163139416664,-0.5000388569210626,0.31740060825315947,-1.0978404615186257,-0.26805092977550665
66,*,44,12831.44,22,1.43,12807.15,26,3.64,-2665.443174566215,4846.193675842332,15,164.0874630265513,0.06999765240292004,0.1877324591115137,-0.1140577580740478,0.3590489986997801
67,,44,12821.67,22,1.46,12808.24,26,4.988,-2850.8982158801964,5844.121913289321,15,142.093074532084,0.3879782758754199,0.15106903339821104,0.2424366759527851,0.7245425396616351
68,*,44,12811.48,22,2.16,12870.04,12,6.587999999999999,-2067.523735837727,5526.745567519496,8,93.70805874550088,0.5166729529100051,0.27217477797542206,0.2333783373756274,0.8361236121810535
69,,44,12847.03,22,1.443,12840.57,26,4.956,-4411.642676638283,5622.385731066311,12,110.11554875907731,0.23313258187731364,0.12662918439882226,0.03295094974022073,0.4028705809352867
70,,43,12910.09,24,2.708,12896.12,26,4.913,-3287.9303767008173,4985.760565302147,22,128.54890200247988,0.11269909037795234,0.14155773390627702,-0.217956367636212,0.36378920396184217
71,,43,12921.81,24,2.7089999999999996,12909.07,20,4.43,-3197.347147654488,3374.24434214204,18,136.86319558686748,-0.2772682652287832,0.16616850083712828,-0.5824130689626741,-0.11622607372594974
72,,43,12919.9,22,2.154,13014.84,26,5.446000000000001,-1528.1724322143166,4875.845448020537,24,99.61539351418371,0.14497706375686523,0.2797037299671652,-0.20421814290735493,0.7334101362337379
73,*,43,12927.48,22,2.154,13134.94,20,4.4510000000000005,-3436.1609030864925,2084.8739372302944,8,446.91520154927616,-0.5742028622645192,0.19010651735766276,-0.9532025516746552,-0.4189514242312641
74,*,43,12932.31,28,2.74,12934.67,26,5.393,-6316.747983140242,5711.130887550192,25,265.61149113519184,0.15805864429508923,0.07466278132829242,0.0005120661445794474,0.3495655429493498
75,*,43,12937.02,24,2.71,13098.88,26,5.01,-2737.157175889366,4794.608047820466,24,321.4240773185687,0.04708576995622328,0.20164237251947004,-0.1859788629465844,0.7305406275711772
76,,43,12975.91,25,2.888,13029.52,14,6.082999999999999,-2842.1621053335834,6313.449994267312,25,136.20404428848158,0.5179505767558119,0.1121909407360764,0.3397297695246729,0.9665151883940764
77,*,43,12987.57,22,2.506,13147.92,26,5.393,-1730.4376187474943,3700.93365249062,17,199.79681905503992,-0.2914405759299045,0.3089566020632324,-0.8303899848830558,0.07518770702366659
78,,43,13005.36,22,2.175,13152.74,14,4.92,-2161.2271680462045,3838.668970140823,11,144.17467951712746,-0.16342477408309034,0.272513822041299,-0.6932668149110564,0.02994556099157732
79,,43,13006.68,26,2.99,13030.92,14,6.079,-2983.454778798185,4812.268330055873,25,107.01202901160227,0.0028465402611388894,0.1195161020632247,-0.2762644206649525,0.35667575409097163
80,,43,13011.9,22,1.443,13123.41,13,3.1430000000000002,-1779.867723607013,3349.3455475538913,21,105.8382885018832,-0.4717285826635587,0.2530649542321322,-1.1040783333572388,-0.2809689462187123
81,*,43,13033.55,20,4.441,13102.06,14,6.082999999999999,-3322.8156145597136,4249.3069631868075,24,329.1986281457756,-0.1406683084681446,0.15106826819545047,-0.4170456610405134,0.4308468497486229
